Harmoni,Joko,08123456789,10,500000,0,500000
Senayan,"Budi Basuki",081225211667,100,5000000,250000,4750000
Cempaka,"Sri Murtini",085335445889,150,7500000,375000,7125000
Grogol,"Marjoko Susilo",081225336447,75,3750000,187500,3562500
Sarinah,"Sri Murtini",081225336447,150,7500000,375000,7125000
Sarinah,"Budi Basuki",08123456789,150,7500000,375000,7125000
Sarinah,"Nany Heriyati",0812255756191,200,10000000,500000,9500000
Senayan,"Budi Basuki",089766577990,150,7500000,375000,7125000
Grogol,"Nany Heriyati",0812255756191,200,10000000,500000,9500000
Sarinah,"Budi Sutanti",08123456798,25,1250000,62500,1187500
